drive,g,seed,t,rank_C,rho,rank,PR,frob
sin,0.3,0,157.0,1,30.99523437764847,49,1.301191078602033,31.013473045130212
sin,0.3,0,158.0,1,31.15318504261785,49,1.2961184317496888,31.170938775792095
sin,0.3,0,159.0,1,31.309416007860158,49,1.29115967482533,31.32669904182079
sin,0.3,0,160.0,1,31.46394577184243,49,1.2863113399196542,31.48077186561125
sin,0.3,0,161.0,1,31.616792644318497,49,1.2815700959352059,31.633175099418782
sin,0.3,0,162.0,1,31.767974747708106,49,1.2769327419684744,31.783926425886154
sin,0.3,0,163.0,1,31.917510018500334,49,1.2723962010690746,31.93304335864076
sin,0.3,0,164.0,1,32.065416208678776,49,1.2679575143514026,32.08054324295628
sin,0.3,0,165.0,1,32.2117108871659,49,1.2636138354359205,32.2264432564735
sin,0.3,0,166.0,1,32.35641144128343,49,1.2593624251989313,32.37076040997539
sin,0.3,0,167.0,1,32.49953507822785,49,1.2552006468112038,32.51351154821208
sin,0.3,0,168.0,1,32.64109882655738,49,1.2511259610472196,32.65471335077139
sin,0.3,0,169.0,1,32.78111953768976,49,1.247135921848096,32.794382332991056
sin,0.3,0,170.0,1,32.91961388740817,49,1.243228172122473,32.93253484690915
sin,0.3,0,171.0,1,33.05659837737458,49,1.2394004397706813,33.06918708224918
sin,0.3,0,172.0,1,33.1920893366478,49,1.2356505339185893,33.20435506743691
sin,0.3,0,173.0,1,33.326102923206285,49,1.2319763413484395,33.33805467064585
sin,0.3,0,174.0,1,33.458655125472866,49,1.2283758231148079,33.470301600868936
sin,0.3,0,175.0,1,33.58976176384185,49,1.224847011334702,33.60111140901358
sin,0.3,0,176.0,1,33.719438492205526,49,1.221388006141487,33.73049948901814
sin,0.3,0,177.0,1,33.8477007994811,49,1.2179969727930218,33.85848107898732
sin,0.3,0,178.0,1,33.97456401113517,49,1.2146721389250712,33.98507126234464
sin,0.3,0,179.0,1,34.10004329070645,49,1.2114117919415726,34.11028496900013
sin,0.3,0,180.0,1,34.22415364132508,49,1.208214276533934,34.234136976531346
sin,0.3,0,181.0,1,34.34690990722772,49,1.2050779923220492,34.35664191137624
sin,0.3,0,182.0,1,34.46832677526848,49,1.2020013916101298,34.47781425003626
sin,0.3,0,183.0,1,34.58841877642433,49,1.1989829772509542,34.59766832028834
sin,0.3,0,184.0,1,34.70720028729446,49,1.1960213006125187,34.71621830240441
sin,0.3,0,185.0,1,34.82468553159413,49,1.193114959641402,34.83347823037718
sin,0.3,0,186.0,1,34.94088858164046,49,1.1902625970176097,34.94946199315122
sin,0.3,0,187.0,1,35.05582335983214,49,1.1874628983958897,35.06418333585795
sin,0.3,0,188.0,1,35.169503640120546,49,1.1847145907288548,35.17765586105396
sin,0.3,0,189.0,1,35.28194304947312,49,1.1820164406675706,35.28989302996134
sin,0.3,0,190.0,1,35.393155069328635,49,1.1793672530354438,35.400908163709474
sin,0.3,0,191.0,1,35.503153037043056,49,1.1767658693715823,35.510714444577275
sin,0.3,0,192.0,1,35.61195014732696,49,1.1742111665399644,35.61932491723523
sin,0.3,0,193.0,1,35.719559453673476,49,1.1717020554010105,35.7267524899866
sin,0.3,0,194.0,1,35.82599386977665,49,1.1692374795423188,35.83300993600692
sin,0.3,0,195.0,1,35.93126617094022,49,1.1668164140655426,35.93810989458148
sin,0.3,0,196.0,1,36.03538899547633,49,1.1644378644265476,36.04206487234005
sin,0.3,0,197.0,1,36.13837484609427,49,1.1621008653261466,36.1448872444883
sin,0.3,0,198.0,1,36.24023609127891,49,1.1598044796488873,36.246589256035634
sin,0.3,0,199.0,1,36.340984966658645,49,1.1575477974474764,36.3471830230187
sin,0.3,0,200.0,1,36.440633576363055,49,1.1553299349705903,36.44668053372046
sin,0.3,0,201.0,1,36.53919389436988,49,1.1531500337319434,36.54509364988421
sin,0.3,0,202.0,1,36.6366777658411,49,1.1510072596185723,36.64243410792229
sin,0.3,0,203.0,1,36.733096908448395,49,1.148900802036466,36.738713520119155
sin,0.3,0,204.0,1,36.82846291368767,49,1.1468298730917068,36.83394337582847
sin,0.3,0,205.0,1,36.922787248182786,49,1.1447937068054452,36.92813504266396
sin,0.3,0,206.0,1,37.0160812549781,49,1.1427915583610802,37.02129976768378
sin,0.3,0,207.0,1,37.1083561548203,49,1.1408227033821354,37.113448678568076
sin,0.3,0,208.0,1,37.19962304742855,49,1.138886437239382,37.204592784789675
sin,0.3,0,209.0,1,37.289892912754624,49,1.1369820743858343,37.29474297877752
sin,0.3,0,210.0,1,37.379176612231014,49,1.1351089477183411,37.383910037072795
sin,0.3,0,211.0,1,37.46748489000843,49,1.1332664079645371,37.47210462147753
sin,0.3,0,212.0,1,37.55482837418204,49,1.1314538230939917,37.55933728019548
sin,0.3,0,213.0,1,37.64121757800669,49,1.129670577752453,37.64561844896523
sin,0.3,0,214.0,1,37.726662901101285,49,1.1279160727181525,37.73095845218536
sin,0.3,0,215.0,1,37.811174630641574,49,1.1261897243791583,37.81536750403148
sin,0.3,0,216.0,1,37.89476294254254,49,1.1244909642308585,37.89885570956514
sin,0.3,0,217.0,1,37.97743790262939,49,1.122819238392664,37.9814330658345
sin,0.3,0,218.0,1,38.05920946779762,49,1.1211740071430878,38.06310946296661
sin,0.3,0,219.0,1,38.14008748716247,49,1.1195547444723994,38.14389468525129
sin,0.3,0,220.0,1,38.220081703197174,49,1.117960937652081,38.22379841221653
sin,0.3,0,221.0,1,38.29920175286021,49,1.1163920868203494,38.30283021969533
sin,0.3,0,222.0,1,38.37745716871246,49,1.1148477045830776,38.380999580884
sin,0.3,0,223.0,1,38.45485738002293,49,1.1133273156294292,38.45831586739177
sin,0.3,0,224.0,1,38.531411713863875,49,1.1118304563615802,38.534788350281794
sin,0.3,0,225.0,1,38.607129396195866,49,1.110356674537962,38.610426201103415
sin,0.3,0,226.0,1,38.68201955294146,49,1.1089055289294147,38.68523849291577
sin,0.3,0,227.0,1,38.75609121104902,49,1.1074765889877376,38.759234201302625
sin,0.3,0,228.0,1,38.82935329954563,49,1.1060694345261135,38.83242220537851
sin,0.3,0,229.0,1,38.901814650579915,49,1.104683655410916,38.9048112887861
sin,0.3,0,230.0,1,38.97348400045441,49,1.10331885126443,38.976410140684834
sin,0.3,0,231.0,1,39.04436999064753,49,1.101974631178032,39.04722735673088
sin,0.3,0,232.0,1,39.114481168825925,49,1.1006506134354281,39.11727144004824
sin,0.3,0,233.0,1,39.183825989845765,49,1.09934642524551,39.1865508021913
sin,0.3,0,234.0,1,39.252412816744844,49,1.0980617024844699,39.255073764098526
