g,activation,lle_map_mean,lle_map_std,lle_flow_mean,lle_flow_std
0.3,smooth_capped_relu,-2.350946023907026,0.04612805563143826,-0.9292093803275183,0.010220682131689729
0.5,smooth_capped_relu,-1.8551840465152751,0.04728679969498614,-0.8741561721886356,0.018549609845253185
0.7,smooth_capped_relu,-1.543311894995842,0.05241172084117727,-0.8203368133198301,0.024583012342972263
0.8,smooth_capped_relu,-1.426008588595718,0.05667636714437432,-0.7953127199964932,0.02739154796244146
0.9,smooth_capped_relu,-1.324769441295194,0.06044371552006702,-0.7713160632549154,0.029546675400400284
0.95,smooth_capped_relu,-1.2793174004453944,0.06220857340712135,-0.759787022589945,0.030560491502605126
1.0,smooth_capped_relu,-1.2369326341174438,0.06390191011595975,-0.7486333970466341,0.03163868509404262
1.05,smooth_capped_relu,-1.197365735712599,0.06546734777275215,-0.7378793382431531,0.032806750645741234
1.1,smooth_capped_relu,-1.1601706230628102,0.06675778291421333,-0.7275346356706739,0.034059751811474206
1.2,smooth_capped_relu,-1.092112196060219,0.0684311248939085,-0.7080815173261221,0.0367474319838873
1.5,smooth_capped_relu,-0.928551606801961,0.07166433515350797,-0.6597004288303709,0.045426029893412795
2.0,smooth_capped_relu,-0.7441533689893525,0.09797385059315854,-0.6070625248052997,0.0568034958204079
3.0,smooth_capped_relu,-0.48697084939945257,0.12925610469502974,-0.5092974310443857,0.07135598584640888
0.1,clipped_gelu,-2.9940533918772205,0.04655225314230437,-0.9677092691143564,0.0056866105543646375
0.3,clipped_gelu,-1.8954411032091056,0.046552253142308334,-0.8797909818558743,0.017519114523213124
0.5,clipped_gelu,-1.3846154794431196,0.04655225314228582,-0.7840446202725886,0.026770596506459566
0.7,clipped_gelu,-1.0481432428219042,0.04655225314229775,-0.6910277406395002,0.03986929312511644
0.8,clipped_gelu,-0.9146118501973876,0.04655225314229131,-0.6438475737434841,0.04406675884977953
0.9,clipped_gelu,-0.7968288145409966,0.046552253142301464,-0.597560927391817,0.0480416890555943
0.95,clipped_gelu,-0.742761593270729,0.046552253142293935,-0.5747918237882041,0.050303975960947815
1.0,clipped_gelu,-0.6914682988831709,0.046552253142299986,-0.5517746814895368,0.05254291612109868
1.05,clipped_gelu,-0.6426781347137409,0.04655225314229711,-0.5282764757757946,0.05473435698782599
1.1,clipped_gelu,-0.5961581190788501,0.046552253142295205,-0.5045978787819314,0.05697772890018101
1.2,clipped_gelu,-0.5091467420892226,0.046552253142292464,-0.4571075013060618,0.06079105465175178
1.5,clipped_gelu,-0.28600319077501213,0.04655225314229485,-0.31447452725453473,0.07313009927261135
2.0,clipped_gelu,-0.008425232887282712,0.029224163663867223,-0.10067733493446074,0.061605385441092855
3.0,clipped_gelu,0.2705026256737332,0.04193146728333154,-0.08333444023677508,0.09387301428769976
0.1,bounded_gelu,-2.9940533918772205,0.04655225314230437,-0.9677092691143564,0.005686610554364665
0.3,bounded_gelu,-1.8954411032091056,0.046552253142308334,-0.8797909818558743,0.01751911452321322
0.5,bounded_gelu,-1.3846154794431196,0.04655225314228582,-0.7840446202725884,0.02677059650645959
0.7,bounded_gelu,-1.0481432428219042,0.04655225314229775,-0.6910277406395002,0.039869293125116216
0.8,bounded_gelu,-0.9146118501973876,0.04655225314229131,-0.6438475737434833,0.04406675884977775
0.9,bounded_gelu,-0.7968288145409966,0.046552253142301464,-0.5975609273918143,0.04804168905558656
0.95,bounded_gelu,-0.742761593270729,0.046552253142293935,-0.5747918237881988,0.05030397596093118
1.0,bounded_gelu,-0.6914682988831709,0.046552253142299986,-0.5517746814895266,0.05254291612106497
1.05,bounded_gelu,-0.6426781347137409,0.04655225314229711,-0.5282764757757791,0.05473435698776225
1.1,bounded_gelu,-0.5961581190788501,0.046552253142295205,-0.5045978787819123,0.05697772890006138
1.2,bounded_gelu,-0.5091467420892226,0.046552253142292464,-0.4571075013060762,0.06079105465127263
1.5,bounded_gelu,-0.28600319077501213,0.04655225314229485,-0.31447452737191234,0.0731300990917657
2.0,bounded_gelu,-0.01702634521073678,0.016972570585700293,-0.09536133698462554,0.06586591992252584
3.0,bounded_gelu,0.13253244113348475,0.040328135567346414,-0.14884741189667364,0.10123973621266949
