drive,g,seed,t,rho_W,frob_W,g_eff,mean_d2,rho_DW
white,1.0,0,241.0,0.8149503038948457,5.487898429962491,0.5943971772431106,0.5865585251309161,
white,1.0,0,242.0,0.8140861427811635,5.482063123192431,0.579873101154378,0.5594327246102615,
white,1.0,0,243.0,0.8140649023215405,5.476366443189517,0.5731095615249447,0.5475960557335133,
white,1.0,0,244.0,0.8141594381852574,5.470538869695531,0.6289153079728884,0.6608366476694804,
white,1.0,0,245.0,0.815596707611882,5.464882276092498,0.5807238879974975,0.5646089585029377,0.5964649139168555
white,1.0,0,246.0,0.816350170576073,5.459131245713031,0.5902817908340263,0.5845769751135801,
white,1.0,0,247.0,0.8152905036478044,5.453207221931657,0.6116240443193965,0.628977488841765,
white,1.0,0,248.0,0.8135527176613849,5.447363963591147,0.6199126153984356,0.6475274239869659,
white,1.0,0,249.0,0.8125705846290754,5.441685080128277,0.5869827550603908,0.5817734254004533,
white,1.0,0,250.0,0.8116693336994582,5.435917373425633,0.6303104630340732,0.672253920340998,0.5872138192475024
white,1.0,0,251.0,0.8106298318276037,5.4301712237490065,0.6090454875052893,0.6289880812583428,
white,1.0,0,252.0,0.809539373679792,5.424502996831334,0.5886713518328787,0.588838095630668,
white,1.0,0,253.0,0.8083919859506215,5.418902451960446,0.6230660443057858,0.6610213787780712,
white,1.0,0,254.0,0.8068799740003236,5.413288201731087,0.6338844786810343,0.6855954726167194,
white,1.0,0,255.0,0.8050628238970623,5.407604520729991,0.6289331576107061,0.6763463372988567,0.7104878193963351
white,1.0,0,256.0,0.8037803692759166,5.401975049330378,0.5179976201604131,0.4597485682200527,
white,1.0,0,257.0,0.8027467539080434,5.396367925170842,0.58572147404304,0.5890459754779934,
white,1.0,0,258.0,0.8022395074839289,5.39076144755725,0.576780600012594,0.5723887187997162,
white,1.0,0,259.0,0.8018753808187338,5.385135382024649,0.5935000527717378,0.6073209690518627,
white,1.0,0,260.0,0.8012523217911162,5.37958701341868,0.5337882699545131,0.4922777229840606,0.548560875914343
white,1.0,0,261.0,0.8006714157588878,5.373964024724376,0.593688405124267,0.6102357251563718,
white,1.0,0,262.0,0.7998785811149712,5.368345956621038,0.5821463735536296,0.5879676147784194,
white,1.0,0,263.0,0.799519451371694,5.3628020559212874,0.6254401549461079,0.6800768495232282,
white,1.0,0,264.0,0.7994555224194833,5.35716473016171,0.5885454679279524,0.6034760542034661,
white,1.0,0,265.0,0.7997155750979272,5.351520049327361,0.5882103549332905,0.6040613124225024,0.5977261146085356
white,1.0,0,266.0,0.7992835816047278,5.345979758888381,0.5890580330717555,0.607059905519677,
white,1.0,0,267.0,0.7993832299343931,5.340362311978282,0.5805043552802235,0.5907986911250283,
white,1.0,0,268.0,0.798864067762119,5.3346905467380346,0.594124710269428,0.6201643128004554,
white,1.0,0,269.0,0.7982401676260711,5.329043428688026,0.5409445966937211,0.5152014297638262,
white,1.0,0,270.0,0.7990056517695212,5.32334858792085,0.5835075842358937,0.6007492024779357,0.6255368099855027
white,1.0,0,271.0,0.7984960634461893,5.317697815240228,0.604599989799033,0.6463369233515195,
white,1.0,0,272.0,0.7982497665054114,5.312183708785168,0.6312064508570796,0.7059382116588373,
white,1.0,0,273.0,0.7973242113964594,5.3067020748436695,0.5964315629236095,0.6315995727967652,
white,1.0,0,274.0,0.7966192113578373,5.301151404780877,0.5786046007312724,0.5956530270422301,
white,1.0,0,275.0,0.7957462065718446,5.295622905171815,0.5508219522592702,0.540951563943426,0.5979216099433582
white,1.0,0,276.0,0.7944143181525534,5.2901415684163124,0.5609515336431068,0.5621938562634865,
white,1.0,0,277.0,0.7936915996382895,5.284587196777223,0.5344323899248181,0.5113678383085697,
white,1.0,0,278.0,0.7928569438695423,5.2790277745078305,0.5604125243312966,0.5634790522345621,
white,1.0,0,279.0,0.7920150402783841,5.273460458083739,0.594854558318332,0.6362095799123813,
white,1.0,0,280.0,0.79163345087792,5.268020013802418,0.5366056659564564,0.518782932726823,0.5363153670429027
white,1.0,0,281.0,0.79076555992864,5.262533939927514,0.619815782665887,0.6935941894127176,
white,1.0,0,282.0,0.7897707730358066,5.256983716370589,0.558082865963949,0.5635002578931365,
white,1.0,0,283.0,0.7894948798398594,5.2514972024221995,0.5383797020758219,0.5255101189888145,
white,1.0,0,284.0,0.7896132210409335,5.246058571055241,0.568584525764733,0.5873457170947818,
white,1.0,0,285.0,0.7888746934271865,5.240513876810665,0.5338688824954337,0.5189093183140354,0.5988805347726275
white,1.0,0,286.0,0.7879903334642488,5.23500461473404,0.5837181285011193,0.6216446915316085,
white,1.0,0,287.0,0.7872359654883334,5.229585004024036,0.5781099426006756,0.6110214104748922,
white,1.0,0,288.0,0.7862930725295559,5.224098208854179,0.5463429073294498,0.546862265982123,
white,1.0,0,289.0,0.7861315236281159,5.218740797938126,0.5503723027626378,0.5560984575114173,
white,1.0,0,290.0,0.7864077511853886,5.213409012670144,0.5789692645063381,0.6166481399228746,0.6290200691256183
white,1.0,0,291.0,0.7858764020650663,5.207974289108687,0.5374198188838247,0.5324265424841497,
white,1.0,0,292.0,0.7859774284570533,5.2025850709082215,0.497381330100718,0.45699408863336016,
white,1.0,0,293.0,0.785217984990578,5.197258051764291,0.5535781443687424,0.567256281801058,
white,1.0,0,294.0,0.7844112185553674,5.191746245014024,0.5608750696869313,0.5835463573245034,
white,1.0,0,295.0,0.7839956808244712,5.1862144378193715,0.5730021362275434,0.6103536509899428,0.5528902131961091
white,1.0,0,296.0,0.7827211465592465,5.180684499499205,0.5722221950638984,0.609993367137583,
white,1.0,0,297.0,0.7817073787718875,5.175218655229442,0.5948888952426538,0.6606695961480178,
white,1.0,0,298.0,0.780807773900151,5.169717959472875,0.5541212486627143,0.5744416384095828,
white,1.0,0,299.0,0.7800892180482574,5.164302498164855,0.5723124880007818,0.6140632446633699,
white,1.0,1,0.0,1.0057942205355008,7.113426964867102,0.8155145045649111,0.6571668230219287,0.7940437600358718
white,1.0,1,1.0,1.004671864693082,7.106118564367806,0.7623927798824766,0.5755229613223265,
white,1.0,1,2.0,1.0035100781421094,7.098564187330948,0.7902786112469723,0.6197113251583243,
white,1.0,1,3.0,1.0024142701303074,7.091104964430875,0.7403164015667194,0.5449754250803263,
white,1.0,1,4.0,1.0012859638883715,7.0837335233970755,0.8024998026074663,0.6417050275463576,
white,1.0,1,5.0,1.0000788805108964,7.076463173615121,0.7677238943634512,0.5885015591668872,0.7961521431464724
white,1.0,1,6.0,0.9989093477369896,7.0690695838023965,0.7850402868348966,0.6166367160673727,
white,1.0,1,7.0,0.9978032484203204,7.061738308299484,0.7807648889618759,0.611205586210446,
white,1.0,1,8.0,0.996618708696506,7.054310014068221,0.8142133199527387,0.6660967687138943,
white,1.0,1,9.0,0.9955514021032565,7.046822529613004,0.7518367096807623,0.5691547832932433,
white,1.0,1,10.0,0.99454304549468,7.039307436330415,0.8110766883040329,0.6637949997369442,0.807614675719311
white,1.0,1,11.0,0.9933895791820692,7.031879402373233,0.7681292338940547,0.5966171931511122,
white,1.0,1,12.0,0.9922658309430524,7.024464016159318,0.7653807284671285,0.5936065247837989,
white,1.0,1,13.0,0.9911643321584345,7.017238617205078,0.7544271731311535,0.5779259026127458,
white,1.0,1,14.0,0.9901239384290833,7.009811554143425,0.765493149082466,0.5962658477355464,
white,1.0,1,15.0,0.9890297345374564,7.002337717234337,0.7995156169179699,0.6518351884408614,0.849377415099125
white,1.0,1,16.0,0.9878960442419521,6.9949803905863845,0.770065460318439,0.605971627813148,
white,1.0,1,17.0,0.9868601703126271,6.9876395613663425,0.8097206805406774,0.6713971251000637,
white,1.0,1,18.0,0.9857819929203081,6.980202496416213,0.8094152457364702,0.6723210692680769,
white,1.0,1,19.0,0.9845930019875996,6.97284749060605,0.7053386792879712,0.5116171239484272,
white,1.0,1,20.0,0.9834442572334954,6.965496398629077,0.7796228562920456,0.6263758225885742,0.8052982637517105
white,1.0,1,21.0,0.9823944700545079,6.958192980573703,0.7978976675210488,0.657463211045213,
white,1.0,1,22.0,0.9812875682269622,6.950800534996837,0.7651425225042584,0.6058777854639102,
white,1.0,1,23.0,0.9801378818125063,6.94331237302743,0.7667715351588545,0.6097735193971208,
white,1.0,1,24.0,0.9788048580313576,6.935785614627729,0.746489406087628,0.5791965690622786,
white,1.0,1,25.0,0.9776401530258334,6.928521192878378,0.7773536439873693,0.6293991939254551,0.8663752556993073
white,1.0,1,26.0,0.9766132532746443,6.9212914733937545,0.7097888033090457,0.5258404791276259,
white,1.0,1,27.0,0.9758268522520913,6.913945860774821,0.741596073740763,0.5752450616176986,
white,1.0,1,28.0,0.9760737775991678,6.9065633894093015,0.8183625712946369,0.7020006535081891,
white,1.0,1,29.0,0.97539156883467,6.899414248175625,0.708137290895719,0.5267208283806923,
white,1.0,1,30.0,0.9744571058373361,6.892048134231984,0.7675157693777943,0.6200804156928574,0.7789597584947343
white,1.0,1,31.0,0.9733362922901404,6.884587586454244,0.7940641932861736,0.6651588459089495,
white,1.0,1,32.0,0.9724030882484742,6.877245969499421,0.734878810831139,0.570916165214619,
white,1.0,1,33.0,0.9713761641786094,6.8699800688830726,0.7260252419381724,0.5584219625056344,
white,1.0,1,34.0,0.9703484307676897,6.862714175294744,0.7499940817174283,0.5971643243172442,
white,1.0,1,35.0,0.9692720719641149,6.855327025872661,0.7742040024279379,0.6377118312234181,0.8266965112622389
white,1.0,1,36.0,0.9682912666979281,6.848029201915512,0.7395132340167399,0.5830834272147143,
white,1.0,1,37.0,0.9673513257845147,6.840805522244488,0.734945562739939,0.5771196487710799,
white,1.0,1,38.0,0.9665950930748121,6.83361443933333,0.7603512245862702,0.6190098507556834,
white,1.0,1,39.0,0.965598661904466,6.826423180050473,0.7101981671683485,0.5411811784433389,
white,1.0,1,40.0,0.9647946477085836,6.819300349901671,0.6963325103099371,0.5213431963770931,0.6928209424772798
white,1.0,1,41.0,0.9638538555173634,6.812186284253868,0.7514539704924983,0.6084175602106227,
white,1.0,1,42.0,0.9628008581282217,6.8050190002502875,0.7470526282930399,0.6025786167495215,
white,1.0,1,43.0,0.9621763676608187,6.797870148484312,0.756369663124269,0.619002607575806,
white,1.0,1,44.0,0.9612460555097528,6.7906463743952,0.6976297472007958,0.5277129549988796,
white,1.0,1,45.0,0.9601783933700887,6.783448963930065,0.7831432384754395,0.6664250080290222,0.899607402876369
white,1.0,1,46.0,0.9592571673234764,6.776327965211401,0.7864090933018101,0.6734079254846733,
white,1.0,1,47.0,0.9583050798900601,6.769133411981238,0.7487301002012677,0.6117224831070011,
white,1.0,1,48.0,0.9573889765392279,6.7619538079920805,0.7549927472678466,0.623320146758583,
white,1.0,1,49.0,0.9564576752672321,6.754873767851286,0.7642897372484013,0.6401055389866249,
white,1.0,1,50.0,0.9557119457141913,6.747857877363746,0.7588643612737827,0.6323630206256634,0.7572750916638853
white,1.0,1,51.0,0.9550290395976229,6.740681106106101,0.6999571977744284,0.5391447848912783,
white,1.0,1,52.0,0.9543280500756265,6.7336204592844355,0.7778215086356156,0.6671640454435898,
white,1.0,1,53.0,0.9536936865514687,6.726557512863231,0.7724499566742853,0.6593636344006042,
white,1.0,1,54.0,0.9531651307111215,6.719499181738801,0.7234085994246078,0.579513460271682,
white,1.0,1,55.0,0.9523277160350421,6.71241176714844,0.7348015313908561,0.5991739585701268,0.785016206280032
white,1.0,1,56.0,0.951300812844902,6.705214839812988,0.7374460560958555,0.6047907273984827,
white,1.0,1,57.0,0.9502661488261306,6.698002437167593,0.751809381155727,0.6299337584854537,
white,1.0,1,58.0,0.9496461695602391,6.690895522187084,0.6961906944848014,0.5413248142553766,
